Pricing Opt,1,4,1,0.4,-0,-0,,124453,20413.8,0,104039,46492,16539,29953,46.4927,291.627,618.298,,3.28364,212425,123377,46493,54021,0.814697,7.63445,7.89055,4.77125,6.49322,0.0549125,0.00765781,4.32881
Pricing Opt,1,4,1,0.6,-0,-0,,134151,20971.1,0,113180,53107,8997,44110,53.1078,299.587,603.878,,2.91386,207192,123369,53109,50000,0.83578,8.03697,7.80218,4.76504,6.4701,0.028134,0.00176089,4.26584
Pricing Opt,1,4,1,0.8,-0,-0,,148146,20854.5,0,127292,54086,6678,47407,54.0867,297.923,631.185,,2.998,207715,123365,54088,48947,0.835212,8.20058,7.6665,4.8446,6.56042,0.057267,0.0120041,4.83711
Pricing Opt,1,4,1.25,0.4,-0,-0,,131523,22899.9,0,108624,53832,17342,36490,43.0663,261.714,600.41,,3.53698,216382,123382,53833,48269,0.827533,7.48507,7.89283,4.76651,6.50552,0.217337,0.0595502,5.14785
Pricing Opt,1,4,1.25,0.6,-0,-0,,141976,22675.6,0,119301,55899,12171,43727,44.7194,259.15,572.433,,3.29542,212434,123381,55900,47432,0.837511,7.59844,7.91697,4.73746,6.46943,0.0879366,0.0197529,4.95984
Pricing Opt,1,4,1.25,0.8,-0,-0,,150380,20985.5,0,129394,54598,8225,46373,43.6787,239.834,514.581,,2.9883,207378,123387,54599,48771,0.837778,7.6785,7.74156,4.82046,6.55251,0.0275743,0.00277366,4.60402
Pricing Opt,0.8,1,0.5,0.4,-0,-0,,123003,18340.5,0,104663,47273,11375,35897,94.5463,524.015,847.314,,1.68369,192278,123382,47274,57361,0.848062,7.46924,7.78837,4.90408,6.47896,0.056142,0.0482123,3.82251
Pricing Opt,0.8,1,0.5,0.6,-0,-0,,133403,18157.5,0,115246,49155,7494,41660,98.3115,518.786,835.47,,1.68025,192045,123374,49157,56136,0.853452,7.58723,7.90423,4.85414,6.41525,0.0644547,0.0487101,3.75756
Pricing Opt,0.8,1,0.5,0.8,-0,-0,,145712,18113.2,0,127599,50195,8347,41848,100.391,517.523,842.939,,1.68033,192051,123362,50196,55069,0.853311,7.42117,7.71794,4.92363,6.53732,0.12831,0.104992,3.77712
Pricing Opt,0.8,1,0.75,0.4,-0,-0,,144067,21724.2,0,122343,53509,23074,30434,71.3456,413.795,695.948,,1.69382,192847,123379,53510,52623,0.860224,7.0259,7.69208,4.90401,6.50367,0.0136185,0.0112763,3.34743
